Access to formal-informal education services for children from displaced hhs,Location of formal informal education facilities services for children from displaced hhs,Distance to nearest education facility,Children at the site attending school,Sufficient learning,Trained moe teachers in this community,Reason 1,Reason 2,Reason 3,Enough teachers,Females not attending,Males not attending,Are there any people in this community skilled and willing to volunteer for education,If there were any community-led education activities would the children in your community attend,Hh,Ind,Location type,Site accessibility,Site safe area,State,LGA,Ward,Most common type of shelter,Living outside,Living emergency shelter,Living makeshift shelter,Living indoors,Security is provided on-site,Security incidents are reported in the site,Who provides the main security in the site,Most prevalent health problem,Access to health facility,Screening for malnutrition conducted on site muac,Supplementary feeding
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working,None boys,Yes,Yes,4,37,IDPs,Yes,Yes,Adamawa,Ganye,Sugu,Accommodation by other families,,,,51%-75%,No,No,,Cough,Yes,No,No
Yes,Off-site,<2km,<25%,Classrooms not crowded,No,Fees or costs,Work in the fields,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,No,Yes,10,55,IDPs,Yes,Yes,Adamawa,Girei,Dakri,Accommodation by other families,,,,,No,Yes,,Cough,Yes,No,No
Yes,On-site,<1km,<25%,Classrooms are crowded,No,Fees or costs,Work in the fields,Work at the house,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs,Fees or costs,Yes,Yes,33,121,IDPs,Yes,Yes,Adamawa,Girei,Dakri,HH living in makeshift shelter (Using Household Items),,,,,Yes,Yes,Self Organized,Fever,Yes,No,No
Yes,On-site,<2km,<25%,Classrooms not crowded,Yes,Fees or costs,Work in the fields,Work at the house,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs,Fees or costs,Yes,Yes,130,567,IDPs,Yes,Yes,Adamawa,Girei,Dakri,Accommodation by other families,,,,,No,Yes,,Fever,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms not crowded,No,Fees or costs,Fear of violence,Work at the house,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs,Fees or costs,Yes,Yes,109,362,IDPs,Yes,Yes,Adamawa,Girei,Damare,Makeshift shelter (Using Local Materials),,,,>75%,Yes,Yes,,Cough,Yes,No,No
Yes,On-site,<1km,<25%,Classrooms not crowded,No,Fees or costs,Fear of violence,Work at the house,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs,Fees or costs,Yes,Yes,143,544,IDPs,Yes,Yes,Adamawa,Girei,Damare,Makeshift shelter (Using Local Materials),,,,51%-75%,Yes,Yes,Self Organized,Fever,Yes,No,No
Yes,On-site,<2km,<25%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,63,354,IDPs,Yes,Yes,Adamawa,Girei,Damare,Makeshift shelter (Using Local Materials),,,,51%-75%,No,No,,Fever,Yes,No,No
Yes,On-site,<1km,<25%,Classrooms not crowded,Yes,School is damaged or destroyed,Disease/Illness,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,183,710,IDPs,Yes,Yes,Adamawa,Girei,Damare,Makeshift shelter (Using Local Materials),,<25%,<25%,>75%,Yes,Yes,Self Organized,Fever,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,No,Fees or costs,Lack of school supplies,Fear of violence,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs,Fees or costs,Yes,Yes,153,723,IDPs,Yes,Yes,Adamawa,Girei,Damare,Makeshift shelter (Using Local Materials),,,,>75%,Yes,Yes,Self Organized,Malnutrition,Yes,No,No
Yes,On-site,<5km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",None girls,None boys,Yes,Yes,59,516,IDPs,Yes,Yes,Adamawa,Girei,Damare,Preexisting structures (Partitioned),,,,>75%,Yes,No,Police,Fever,Yes,No,No
Yes,Off-site,<2km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Distance to the school (too far),Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,167,1012,IDPs,Yes,Yes,Adamawa,Girei,Damare,Makeshift shelter (Using Local Materials),,,,>75%,No,Yes,,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,No,School is damaged or destroyed,Disease/Illness,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,No,Yes,109,443,IDPs,Yes,Yes,Adamawa,Girei,Gereng,Makeshift shelter (Using Local Materials),,<25%,<25%,<25%,Yes,Yes,Self Organized,Fever,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,No,Fees or costs,Lack of school supplies,Fear of violence,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,No,No,110,419,IDPs,Yes,Yes,Adamawa,Girei,Gereng,Makeshift shelter (Using Local Materials),,,,,Yes,Yes,Self Organized,Malnutrition,Yes,No,No
Yes,On-site,<1km,<25%,Classrooms are crowded,Yes,Work in the fields,Work at the house,Fear of violence,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Early marriage pregnancy,They are working safety concerns,Yes,Yes,328,1240,Returns,Yes,Yes,Adamawa,Girei,Gereng,Preexisting structures (Partitioned),,,<25%,<25%,Yes,Yes,Religious leaders,Diarrhea,Yes,No,No
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,287,1640,IDPs,Yes,Yes,Adamawa,Girei,Girei I,Makeshift shelter (Using Local Materials),,,<25%,51%-75%,No,No,,Malaria,Yes,No,No
Yes,Off-site,<5km,<25%,No enough learning space,Yes,Fees or costs,Work in the fields,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",None girls,None boys,Yes,Yes,127,417,IDPs,Yes,Yes,Adamawa,Girei,Girei I,Rented house,,,,>75%,Yes,Yes,Police,Fever,Yes,No,No
Yes,On-site,<5km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,540,2817,IDPs,Yes,Yes,Adamawa,Girei,Girei I,Makeshift shelter (Using Local Materials),,,25%-50%,51%-75%,No,No,,Malaria,Yes,No,No
Yes,On-site,<5km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",None girls,None boys,Yes,Yes,85,556,IDPs,Yes,Yes,Adamawa,Girei,Girei I,Preexisting structures (Partitioned),,,,>75%,Yes,No,Police,Fever,Yes,No,No
Yes,Off-site,<2km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Distance to the school (too far),Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,95,475,IDPs,Yes,Yes,Adamawa,Girei,Girei I,Makeshift shelter (Using Local Materials),,,,,No,Yes,,Malaria,Yes,No,No
No,,,none,No enough learning space,No,Fees or costs,Distance to the school (too far),Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded","None, girls under 18 go to school",None boys,No,Yes,116,493,IDPs,Yes,Yes,Adamawa,Girei,Girei I,Makeshift shelter (Using Local Materials),,,<25%,51%-75%,No,No,,Fever,Yes,No,No
Yes,Off-site,<10km,<25%,Classrooms not crowded,Yes,Fees or costs,Work in the fields,Lack of school supplies,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded","None, girls under 18 go to school",None boys,Yes,Yes,28,140,IDPs,Yes,Yes,Adamawa,Girei,Girei Ii,Makeshift shelter (Using Local Materials),,<25%,,,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Work at the house,Work in the fields,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs none girls,Fees or costs,Yes,Yes,62,430,IDPs,Yes,Yes,Adamawa,Girei,Girei Ii,Rented house,,<25%,<25%,25%-50%,Yes,No,Self Organized,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Work in the fields,Work at the house,"Enough teachers/Volunteers are available, classrooms are not crowded","None, girls under 18 go to school",None boys,Yes,Yes,128,507,IDPs,Yes,Yes,Adamawa,Girei,Girei Ii,Makeshift shelter (Using Local Materials),,<25%,<25%,25%-50%,Yes,No,Self Organized,Malaria,Yes,No,No
Yes,On-site,<1km,>75%,Classrooms not crowded,Yes,Work at the house,Work in the fields,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs they are working,Fees or costs they are working,Yes,Yes,156,770,IDPs,Yes,Yes,Adamawa,Girei,Girei Ii,Rented house,,,,,Yes,No,Self Organized,Malaria,Yes,No,No
Yes,Off-site,<10km,25%-50%,Classrooms not crowded,No,Fees or costs,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",None girls,None boys,Yes,Yes,29,111,IDPs,Yes,Yes,Adamawa,Girei,Jera Bakari,Makeshift shelter (Using Local Materials),,<25%,51%-75%,<25%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,Off-site,<5km,25%-50%,Classrooms not crowded,No,Fees or costs,Lack of school supplies,Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working,Fees or costs,Yes,Yes,15,61,IDPs,Yes,Yes,Adamawa,Girei,Jera Bakari,HH living in makeshift shelter (Using Household Items),,<25%,<25%,25%-50%,Yes,Yes,Local authorities,Malaria,Yes,No,No
Yes,Off-site,<10km,51%-75%,Classrooms not crowded,Yes,Lack of teachers,Fees or costs,Lack of school supplies,Largely insufficient number of teachers/Volunteers are available,Fees or costs,Fees or costs,Yes,Yes,22,115,IDPs,Yes,Yes,Adamawa,Girei,Jera Bonyo,Makeshift shelter (Using Local Materials),,<25%,<25%,25%-50%,Yes,Yes,Local authorities,Malaria,Yes,No,No
Yes,Off-site,<5km,25%-50%,Classrooms not crowded,No,Fees or costs,Work at the house,Lack of school supplies,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs they are working,Fees or costs they are working,Yes,Yes,65,325,IDPs,Yes,Yes,Adamawa,Girei,Jera Bonyo,Rented house,,<25%,25%-50%,51%-75%,No,No,,Malaria,Yes,No,No
Yes,Off-site,<2km,>75%,No enough learning space,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,179,971,IDPs,Yes,Yes,Adamawa,Girei,Modire/ Vinikilang,Accommodation by other families,,,,,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,Off-site,<2km,<25%,Classrooms not crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,44,243,IDPs,Yes,Yes,Adamawa,Girei,Modire/ Vinikilang,Accommodation by other families,,,,,Yes,Yes,Self Organized,Diarrhea,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,188,1128,IDPs,Yes,Yes,Adamawa,Girei,Modire/ Vinikilang,Makeshift shelter (Using Local Materials),,,,,Yes,No,Local authorities,Fever,Yes,No,No
Yes,On-site,<2km,<25%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,128,698,IDPs,Yes,Yes,Adamawa,Girei,Modire/ Vinikilang,Makeshift shelter (Using Local Materials),,,,,Yes,No,Local authorities,Cough,Yes,No,No
Yes,On-site,<2km,<25%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,158,792,IDPs,Yes,Yes,Adamawa,Girei,Modire/ Vinikilang,Makeshift shelter (Using Local Materials),,,,,Yes,Yes,Local authorities,Wound infection,Yes,No,No
Yes,Off-site,<2km,>75%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,38,189,IDPs,Yes,Yes,Adamawa,Girei,Modire/ Vinikilang,Makeshift shelter (Using Local Materials),,,,,Yes,Yes,Self Organized,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,64,179,IDPs,Yes,Yes,Adamawa,Girei,Wuro Dole,Makeshift shelter (Using Local Materials),,,,>75%,No,No,,Fever,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms not crowded,Yes,Work in the fields,Work at the house,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded","None, girls under 18 go to school",None boys,No,Yes,227,662,IDPs,Yes,Yes,Adamawa,Girei,Wuro Dole,Rented house,,,,>75%,Yes,Yes,Police,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms not crowded,Yes,Work in the fields,Work at the house,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of food at home and school they are working,None boys,Yes,Yes,208,469,IDPs,Yes,Yes,Adamawa,Girei,Wuro Dole,Rented house,,,,>75%,Yes,No,Police,Malnutrition,Yes,No,No
Yes,Off-site,<2km,>75%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,88,546,IDPs,Yes,Yes,Adamawa,Girei,Wuro Dole,Makeshift shelter (Using Local Materials),,>75%,,,Yes,Yes,Self Organized,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms not crowded,Yes,Covid 19,Fees or costs,Fear of violence,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs safety concerns,Fees or costs safety concerns,Yes,Yes,38,93,IDPs,Yes,Yes,Adamawa,Gombi,Boga/ Dingai,Communal shelter,,,,,Yes,Yes,Local authorities,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms not crowded,Yes,Covid 19,Fees or costs,Fear of violence,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs safety concerns,Fees or costs safety concerns,Yes,Yes,27,138,IDPs,Yes,Yes,Adamawa,Gombi,Boga/ Dingai,Communal shelter,,,,,Yes,Yes,Local authorities,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms not crowded,Yes,Covid 19,Fees or costs,Fear of violence,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs safety concerns,Fees or costs safety concerns,Yes,Yes,40,112,IDPs,Yes,Yes,Adamawa,Gombi,Boga/ Dingai,Communal shelter,,,,,Yes,Yes,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,none,Classrooms not crowded,Yes,Lack of teachers,Violence/Risks at the school or to/from the school,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Early marriage pregnancy,They are working,Yes,Yes,180,807,Returns,Yes,Yes,Adamawa,Gombi,Boga/ Dingai,Rented house,,<25%,25%-50%,<25%,No,No,,Diarrhea,Yes,Yes,Yes
Yes,On-site,<1km,<25%,Classrooms are crowded,Yes,Fear of violence,Work in the fields,Fees or costs,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Early marriage pregnancy,Lack of documentation,Yes,Yes,354,2535,Returns,Yes,Yes,Adamawa,Gombi,Boga/ Dingai,HH living in makeshift shelter (Using Household Items),,<25%,25%-50%,25%-50%,No,No,,Malaria,Yes,No,No
Yes,On-site,<1km,<25%,Classrooms not crowded,Yes,Fear of violence,"School is occupied (by families, military, etc.)",Fees or costs,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Early marriage pregnancy,They are working,Yes,Yes,185,869,Returns,Yes,Yes,Adamawa,Gombi,Boga/ Dingai,Makeshift shelter (Using Local Materials),,<25%,25%-50%,25%-50%,No,No,,Malaria,Yes,No,No
Yes,On-site,<2km,<25%,Classrooms are crowded,No,Work at the house,School is damaged or destroyed,"School is occupied (by families, military, etc.)","Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Early marriage/pregnancy,Lack of food at home and school,No,No,225,1831,Returns,Yes,Yes,Adamawa,Gombi,Boga/ Dingai,HH living without shelter ,,<25%,<25%,<25%,No,No,,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Work in the fields,Work at the house,Violence/Risks at the school or to/From the school,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Early marriage/pregnancy,Lack of facilities separated by sex,Yes,Yes,195,990,Returns,Yes,Yes,Adamawa,Gombi,Boga/ Dingai,Emergency shelter Kits (Type 1),,25%-50%,51%-75%,>75%,No,No,,Hepatitis,Yes,Yes,Yes
Yes,,<1km,<25%,Classrooms are crowded,No,Work in the fields,Work at the house,"School is occupied (by families, military, etc.)","Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Early marriage pregnancy,Early marriage ,Yes,Yes,153,887,Returns,Yes,Yes,Adamawa,Gombi,Duwa,HH living in makeshift shelter (Using Household Items),,<25%,51%-75%,51%-75%,Yes,Yes,Political leaders,Diarrhea,Yes,Yes,Yes
Yes,,<1km,<25%,Classrooms are crowded,Yes,Work at the house,Covid 19,Lack of teachers,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Early marriage pregnancy,They are working,Yes,Yes,191,1006,Returns,Yes,Yes,Adamawa,Gombi,Duwa,Preexisting structures (Unpartitioned),,25%-50%,51%-75%,51%-75%,No,No,,Diarrhea,Yes,Yes,Yes
